main_name,nova_name,file_name,match_type,notes
,死亡细胞.icp,死亡细胞.icp,new,manual-check-needed
,生化危机6.icp,生化危机6.icp,new,manual-check-needed
,生化危机7.icp,生化危机7.icp,new,manual-check-needed
,生化奇兵.icp,生化奇兵.icp,new,manual-check-needed
,生存同盟.icp,生存同盟.icp,new,manual-check-needed
,神界2DC.icp,神界2DC.icp,new,manual-check-needed
,索尼克世代.icp,索尼克世代.icp,new,manual-check-needed
,索尼克狂欢.icp,索尼克狂欢.icp,new,manual-check-needed
,赛博暗影.icp,赛博暗影.icp,new,manual-check-needed
,赛车.icp,赛车.icp,new,manual-check-needed
,赛车备用版.icp,赛车备用版.icp,new,manual-check-needed
,赛车模拟.icp,赛车模拟.icp,new,manual-check-needed
,输入方案.icp,输入方案.icp,new,manual-check-needed
,图洛克2.icp,图洛克2.icp,new,manual-check-needed
,图洛克进化.icp,图洛克进化.icp,new,manual-check-needed
,逃生1.icp,逃生1.icp,new,manual-check-needed
,通用RTS.icp,通用RTS.icp,new,manual-check-needed
,通用数字锁.icp,通用数字锁.icp,new,manual-check-needed
,通用配置.icp,通用配置.icp,new,manual-check-needed
,铁拳.icp,铁拳.icp,new,manual-check-needed
Unepic.icp,Unepic.icp,Unepic.icp,unchanged,
Unleashed.icp,Unleashed.icp,Unleashed.icp,unchanged,
,围攻.icp,围攻.icp,new,manual-check-needed
,外接键盘映射.icp,外接键盘映射.icp,new,manual-check-needed
,网络奇兵.icp,网络奇兵.icp,new,manual-check-needed
,XanaduNext.icp,XanaduNext.icp,new,manual-check-needed
,Xbox手柄.icp,Xbox手柄.icp,new,manual-check-needed
XHYN_C02.icp,XHYN_C02.icp,XHYN_C02.icp,unchanged,
,心灵杀手.icp,心灵杀手.icp,new,manual-check-needed
,星球大战绝地武士2.icp,星球大战绝地武士2.icp,new,manual-check-needed
,星际争霸.icp,星际争霸.icp,new,manual-check-needed
,星际争霸1.icp,星际争霸1.icp,new,manual-check-needed
,消逝的光芒模拟摇杆.icp,消逝的光芒模拟摇杆.icp,new,manual-check-needed
,虚拟手柄备用版.icp,虚拟手柄备用版.icp,new,manual-check-needed
,虚拟控制器IK.icp,虚拟控制器IK.icp,new,manual-check-needed
,虚拟键盘.icp,虚拟键盘.icp,new,manual-check-needed
,伊苏起源.icp,伊苏起源.icp,new,manual-check-needed
,元素邪神殿手柄版.icp,元素邪神殿手柄版.icp,new,manual-check-needed
,异形大战铁血战士.icp,异形大战铁血战士.icp,new,manual-check-needed
,游戏通用.icp,游戏通用.icp,new,manual-check-needed
